id, TFT, TEC, level, cd
0,139.062469,11829.241211,1,inf
1,5304.000000,9032.000000,1,inf
2,427.331146,10576.661133,1,0.689006
3,333.715851,11776.093750,1,0.503604
4,427.518951,9899.579102,1,0.282121
5,984.769226,9611.799805,1,0.167692
6,1256.000000,9468.000000,1,0.141172
7,675.000000,9622.415039,1,0.124016
8,1446.769287,9345.799805,1,0.116587
9,3899.000000,9032.000000,1,0.113457
10,3570.000000,9032.000000,1,0.109779
11,616.000000,9758.984375,1,0.106969
12,4156.000000,9032.000000,1,0.103389
13,1930.000000,9082.646484,1,0.099459
14,2153.000000,9082.646484,1,0.096337
15,1687.000000,9240.646484,1,0.094172
16,1839.000000,9190.799805,1,0.093464
17,2354.000000,9042.799805,1,0.092923
18,3332.000000,9032.000000,1,0.091966
19,4433.000000,9032.000000,1,0.089449
20,590.000000,9875.599609,1,0.086754
21,2613.000000,9042.799805,1,0.077750
22,2783.000000,9042.799805,1,0.076671
23,5178.000000,9032.000000,1,0.075691
24,4933.000000,9032.000000,1,0.073573
25,3078.000000,9032.000000,1,0.057890
26,4798.000000,9032.000000,1,0.055567
27,3095.000000,9032.000000,1,0.048403
28,1270.769287,9371.799805,1,0.048138
29,1739.000000,9240.646484,1,0.047249
