id, TFT, TEC, level, cd
0,82236.765625,138294.000000,8,0.000000
1,73936.765625,140013.359375,1,67164971781103486288061792256.000000
2,77338.601562,139577.781250,6,67417032814493136470988029952.000000
3,79040.328125,139469.031250,8,67610612061358928967587856384.000000
4,77671.773438,139277.531250,6,67789457524798168171120951296.000000
5,78269.093750,140222.390625,9,68025424733214198603158913024.000000
6,77822.671875,139390.031250,7,68184020689174892768015679488.000000
7,74560.671875,139209.062500,1,68427090336781159146455040000.000000
8,75079.140625,141237.437500,3,68579490547916328336791437312.000000
9,79222.492188,137700.656250,5,68835480590219726064535470080.000000
10,75944.156250,139796.281250,5,69007752519514810721931100160.000000
11,81665.468750,140109.140625,12,69160908309287239055501688832.000000
12,79952.734375,139270.937500,8,69443192488167254967795580928.000000
13,78264.906250,141523.968750,11,69598992803170090302685839360.000000
14,78868.515625,140506.968750,10,69807079159871258349382139904.000000
15,76747.578125,138478.968750,3,70046673145746132668944220160.000000
16,78832.937500,138877.171875,6,70248639315485501655443570688.000000
17,83146.328125,139653.250000,12,70425142485149237514950672384.000000
18,78866.671875,139751.437500,8,70573840360961836903439532032.000000
19,76667.398438,140708.312500,8,70765984008416837027894394880.000000
20,82854.546875,138939.750000,10,71004520184199548546928607232.000000
21,81935.937500,137503.000000,5,71205277428119302904253251584.000000
22,80062.335938,139669.156250,10,71379438304007535419734360064.000000
23,79970.890625,138542.375000,7,71593493731943050697980772352.000000
24,78314.859375,140599.562500,10,71816011640615868380450127872.000000
25,78907.007812,137377.468750,4,71970829703390266829135937536.000000
26,74747.976562,140706.906250,2,72159044341931519408773005312.000000
27,78873.921875,136423.406250,2,72417074446555516823249354752.000000
28,79080.281250,138653.406250,6,72583981767526061563682226176.000000
29,76325.937500,139165.937500,5,72812544305296952392025112576.000000
30,78441.281250,141331.875000,11,73022972955773623782747406336.000000
31,77505.718750,140051.500000,7,73157994858251832678697402368.000000
32,78691.851562,138660.500000,5,73433101040077886730266476544.000000
33,76508.000000,140497.796875,7,73026599733232467670271524864.000000
34,78221.085938,137963.703125,3,73765555640471909753310674944.000000
35,78435.898438,137844.921875,4,73963592801297531194992230400.000000
36,77004.140625,141443.718750,9,74221471790194076780821741568.000000
37,77014.445312,138807.781250,4,74366316214956654538816225280.000000
38,83545.226562,137139.765625,4,74563673355008742751587008512.000000
39,80304.273438,140050.265625,11,74777804340807983944156839936.000000
40,74947.695312,139854.718750,2,75011202581857333289198551040.000000
41,79206.593750,138779.531250,7,75178109902827878029631422464.000000
42,79992.757812,141036.843750,11,75406672440598768857974308864.000000
43,75284.234375,139856.500000,3,75612265387796981731997777920.000000
44,77992.953125,136946.687500,2,75805769076799048314274185216.000000
45,78064.085938,136293.000000,1,76018615578914948963345891328.000000
46,80451.562500,141520.593750,13,76213328193736630174797004800.000000
47,80219.187500,138875.125000,8,76443250773054587460961435648.000000
48,82713.445312,139627.312500,11,76580992758626929272554520576.000000
49,78975.804688,139966.031250,9,76805928518938976213373288448.000000
50,75210.851562,138415.312500,2,77045522504813850532935368704.000000
51,75659.000000,139151.812500,4,77150170146074241870870872064.000000
52,79929.734375,139660.359375,9,77374350327749029668455448576.000000
53,77539.601562,136727.781250,1,77610166420437608271846572032.000000
54,79461.710938,138032.250000,6,77762793305163955205153226752.000000
55,76999.882812,139152.968750,5,78004427353359429211447623680.000000
56,75418.484375,138615.375000,3,78212438152196871343820505088.000000
57,81428.273438,138013.656250,7,78419240025214698847018680320.000000
58,79177.171875,138097.531250,5,78615312681583446516291338240.000000
59,74069.796875,141310.875000,2,78759023738390135559434534912.000000
60,76009.406250,139788.125000,5,79031334279258330781037101056.000000
61,81944.187500,137250.140625,4,79215015445976028501269020672.000000
62,77571.539062,138495.265625,4,79538100871268038148209246208.000000
63,81927.843750,136958.640625,3,79906218783340692731907276800.000000
64,76813.906250,141975.078125,9,80293226161344825896460091392.000000
65,79237.757812,139416.781250,8,80803090625767295750892421120.000000
66,76385.796875,142783.031250,7,81175590893936053365348761600.000000
67,79140.406250,137237.156250,3,81535699672453761030764363776.000000
68,75941.218750,140262.843750,6,81983304457166077482699325440.000000
69,79846.242188,138554.968750,7,82292940582714874380070944768.000000
70,75170.515625,137265.468750,1,82793586987762782687046139904.000000
71,77795.617188,143424.156250,11,83149162294456935493056593920.000000
72,77559.640625,138170.296875,2,83493101690137297493260500992.000000
73,78367.984375,137638.156250,3,83981205489806704022548119552.000000
74,77482.328125,141645.031250,10,84305348725190876470016212992.000000
75,77309.046875,141286.484375,9,84694773954834238892918439936.000000
76,78901.695312,138204.906250,5,85091452739395289090868903936.000000
77,81153.179688,138372.218750,7,85497802930513256322217017344.000000
78,72801.312500,141491.406250,1,85884810308517389486769831936.000000
79,78264.125000,141439.500000,10,86303249757831503009865007104.000000
80,77986.781250,140109.640625,8,86712017800588699499562532864.000000
81,78368.726562,138020.281250,4,87049761451443536525246070784.000000
82,82274.500000,137357.125000,5,87481650200500862797909852160.000000
83,78820.187500,136138.343750,1,87916561264107225643510398976.000000
84,79115.859375,141305.531250,12,88274554422440607707870265344.000000
85,75763.656250,139988.968750,5,88755858014374681948050161664.000000
86,73894.359375,140149.593750,1,89121104727625751787458265088.000000
87,81272.703125,134844.437500,1,89588203441179354134835363840.000000
88,82341.640625,138974.984375,10,89972490736089354383745089536.000000
89,81089.968750,138904.125000,9,90440949491190023188943732736.000000
90,76221.554688,137136.468750,1,90678654530471749650420334592.000000
91,77218.398438,139829.843750,6,91045865748179693262237335552.000000
92,78793.156250,139165.531250,6,91564041577612013692245770240.000000
93,78956.023438,141257.843750,11,91897856219553103173111513088.000000
94,80186.218750,137943.343750,6,92284863597557236337664327680.000000
95,81805.468750,140697.546875,13,92790647937338506818632024064.000000
96,78484.398438,137305.312500,3,93172819612064181466486013952.000000
97,78134.312500,138263.062500,3,93532928390581889131901616128.000000
98,78914.156250,138990.968750,7,93924771471864480813153255424.000000
99,76249.265625,140179.031250,6,94338375217900135819549605888.000000
